Date,Product,Category,Price,Quantity,Sales,Region,Customer_Type,Discount,Rating
2024-01-01,Laptop Pro,Electronics,1499,5,7495,North,Enterprise,0.05,4.7
2024-01-01,Wireless Mouse,Electronics,35,22,770,North,Retail,0.0,4.3
2024-01-02,Standing Desk,Furniture,520,3,1560,South,Enterprise,0.1,4.8
2024-01-02,Ergonomic Chair,Furniture,320,10,3200,South,Enterprise,0.1,4.6
2024-01-03,Laptop Pro,Electronics,1499,4,5996,East,Retail,0.0,4.7
2024-01-03,4K Monitor,Electronics,450,9,4050,East,Enterprise,0.08,4.5
2024-01-04,Mechanical Keyboard,Electronics,120,18,2160,West,Retail,0.0,4.4
2024-01-04,Standing Desk,Furniture,520,2,1040,West,Retail,0.05,4.8
2024-01-05,Ergonomic Chair,Furniture,320,14,4480,North,Enterprise,0.1,4.6
2024-01-05,Wireless Mouse,Electronics,35,32,1120,North,Retail,0.0,4.3
2024-01-06,Laptop Pro,Electronics,1499,6,8994,South,Enterprise,0.05,4.7
2024-01-06,4K Monitor,Electronics,450,7,3150,South,Retail,0.0,4.5
2024-01-07,Mechanical Keyboard,Electronics,120,12,1440,East,Retail,0.0,4.4
2024-01-07,Standing Desk,Furniture,520,1,520,East,Enterprise,0.1,4.8
2024-01-08,Ergonomic Chair,Furniture,320,9,2880,West,Enterprise,0.1,4.6
2024-01-08,Wireless Mouse,Electronics,35,28,980,West,Retail,0.0,4.3
2024-01-09,Laptop Pro,Electronics,1499,7,10493,North,Enterprise,0.05,4.7
2024-01-09,4K Monitor,Electronics,450,5,2250,North,Retail,0.0,4.5
2024-01-10,Mechanical Keyboard,Electronics,120,15,1800,South,Retail,0.0,4.4
2024-01-10,Standing Desk,Furniture,520,4,2080,South,Enterprise,0.1,4.8
2024-01-11,Laptop Pro,Electronics,1499,3,4497,East,Retail,0.0,4.7
2024-01-11,Ergonomic Chair,Furniture,320,11,3520,East,Enterprise,0.1,4.6
2024-01-12,Wireless Mouse,Electronics,35,40,1400,West,Retail,0.0,4.3
2024-01-12,4K Monitor,Electronics,450,6,2700,West,Enterprise,0.08,4.5
2024-01-13,Mechanical Keyboard,Electronics,120,20,2400,North,Retail,0.0,4.4
2024-01-13,Standing Desk,Furniture,520,2,1040,North,Retail,0.05,4.8
2024-01-14,Laptop Pro,Electronics,1499,8,11992,South,Enterprise,0.05,4.7
2024-01-14,Ergonomic Chair,Furniture,320,13,4160,South,Enterprise,0.1,4.6
2024-01-15,4K Monitor,Electronics,450,10,4500,East,Enterprise,0.08,4.5
2024-01-15,Wireless Mouse,Electronics,35,25,875,East,Retail,0.0,4.3
